"error_severity","event_message","id","timestamp"
"LOG","connection authorized: user=postgres database=postgres","c08d65a7-3d4b-483b-9ecc-bec79100625f","1698115784895000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","7bf6ca37-6ec5-4b30-835a-c2101ceace5f","1698115784895000"
"LOG","connection authorized: user=postgres database=postgres","ee2977c6-d82a-418a-8466-649416937753","1698115784484000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","9f768f71-acab-45a8-b42f-2cdcfdb6c818","1698115784484000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","26f838ed-f49d-46ad-bd09-dcc71d44ad35","1698115784298000"
"LOG","connection authorized: user=postgres database=postgres","9d562e28-aea5-4093-8b89-8b23ba644534","1698115784298000"
"LOG","connection received: host=172.17.11.50 port=35422","6ed53ad3-4700-45fe-a601-c665a987b9c6","1698115784271000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","12ed01c5-97d1-4b8f-800d-715ea7b64ee1","1698115782829000"
"LOG","connection authorized: user=postgres database=postgres","3f8e2cd5-e545-4baf-b934-29a6045fd623","1698115782829000"
"LOG","connection authorized: user=postgres database=postgres","418dd8c1-a70c-414a-91a0-24c8fc281cd9","1698115782380000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","6e3649dd-af7c-4529-be18-3d1a4bce1b54","1698115782380000"
"LOG","connection authorized: user=postgres database=postgres","a056b160-41f8-4b31-a0cd-5a3eadd2633c","1698115782373000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","7a2c5190-1bec-4de3-81e8-0475865ff9d9","1698115782372000"
"LOG","connection authorized: user=postgres database=postgres","55547dc8-47e3-47c6-a149-2e04270fd199","1698115782362000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","9239e39f-081a-43e7-8431-e0a861733b17","1698115782362000"
"LOG","connection authorized: user=postgres database=postgres","364d3b90-af64-478c-9f2c-92ad883d3bb4","1698115782349000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:89)","7d863e62-9ae6-4a6b-8dfd-7e35abca7189","1698115782348000"
"LOG","connection authorized: user=postgres database=postgres","d9b2159a-2f61-47e2-9002-2df2de9c46fa","1698115781871000"
